year_month,department_id,department_name,total_visits,inpatient_visits,avg_inpatient_los,readmissions_30d,eligible_index_admissions,readmission_rate_pct,total_cost,avg_cost_per_visit
2024-01,1,Cardiology,144,74,3.71,9,71,12.68,2362921.42,16409.18
2024-01,7,Emergency Medicine,391,0,,0,0,,1029856.6,2633.9
2024-01,2,Internal Medicine,128,68,4.44,11,60,18.33,1390797.17,10865.6
2024-01,5,Neurology,82,33,4.22,6,32,18.75,999697.93,12191.44
2024-01,6,Oncology,111,31,4.25,5,30,16.67,1313028.11,11829.08
2024-01,4,Orthopedics,96,27,4.66,1,24,4.17,1946042.47,20271.28
2024-01,3,Surgery,111,49,3.26,4,45,8.89,1984020.34,17874.06
2024-01,8,Women's Health,89,35,4.65,5,35,14.29,1715425.53,19274.44
2024-02,1,Cardiology,129,61,4.3,11,58,18.97,2253568.45,17469.52
2024-02,7,Emergency Medicine,346,0,,0,0,,942769.36,2724.77
2024-02,2,Internal Medicine,170,85,4.03,15,75,20.0,1721653.91,10127.38
2024-02,5,Neurology,98,32,4.86,9,28,32.14,1150113.81,11735.86
2024-02,6,Oncology,86,27,4.09,1,24,4.17,1181395.21,13737.15
2024-02,4,Orthopedics,114,36,4.19,5,31,16.13,2147159.39,18834.73
2024-02,3,Surgery,108,49,4.55,7,46,15.22,2334077.44,21611.83
2024-02,8,Women's Health,110,52,3.2,6,46,13.04,2030772.11,18461.56
2024-03,1,Cardiology,137,52,4.7,4,47,8.51,2305657.71,16829.62
2024-03,7,Emergency Medicine,361,0,,0,0,,957915.64,2653.51
2024-03,2,Internal Medicine,162,76,3.99,6,70,8.57,1496232.44,9236.0
2024-03,5,Neurology,87,35,3.28,3,32,9.38,904057.92,10391.47
2024-03,6,Oncology,106,44,3.59,2,42,4.76,1516315.08,14304.86
2024-03,4,Orthopedics,123,43,4.15,7,40,17.5,2268554.5,18443.53
2024-03,3,Surgery,124,54,4.67,4,50,8.0,2591475.85,20899.0
2024-03,8,Women's Health,100,35,4.17,3,31,9.68,1663643.31,16636.43
2024-04,1,Cardiology,156,64,4.25,14,61,22.95,2818377.18,18066.52
2024-04,7,Emergency Medicine,344,0,,0,0,,911685.18,2650.25
2024-04,2,Internal Medicine,161,72,4.78,9,65,13.85,1628796.0,10116.75
2024-04,5,Neurology,75,34,4.53,6,32,18.75,1059508.48,14126.78
2024-04,6,Oncology,113,32,4.98,2,32,6.25,1583228.78,14010.87
2024-04,4,Orthopedics,110,44,4.17,5,42,11.9,2205911.85,20053.74
2024-04,3,Surgery,93,46,4.93,5,42,11.9,2107568.28,22662.02
2024-04,8,Women's Health,106,31,4.08,4,29,13.79,1878291.2,17719.73
2024-05,1,Cardiology,146,68,4.42,12,64,18.75,2470907.89,16924.03
2024-05,7,Emergency Medicine,376,0,,0,0,,986711.93,2624.23
2024-05,2,Internal Medicine,164,84,4.65,16,79,20.25,1831642.62,11168.55
2024-05,5,Neurology,106,44,4.52,7,40,17.5,1380042.34,13019.27
2024-05,6,Oncology,106,39,4.23,5,38,13.16,1465604.05,13826.45
2024-05,4,Orthopedics,124,44,3.94,10,41,24.39,2282628.45,18408.29
2024-05,3,Surgery,112,58,4.21,8,54,14.81,2477553.6,22121.01
2024-05,8,Women's Health,107,42,4.42,9,36,25.0,2078642.82,19426.57
2024-06,1,Cardiology,149,70,3.95,5,66,7.58,2686387.48,18029.45
2024-06,7,Emergency Medicine,344,0,,0,0,,912961.49,2653.96
2024-06,2,Internal Medicine,166,80,4.57,8,70,11.43,1741954.66,10493.7
2024-06,5,Neurology,86,37,4.2,8,31,25.81,1086219.49,12630.46
2024-06,6,Oncology,108,40,4.57,4,35,11.43,1531480.77,14180.38
2024-06,4,Orthopedics,118,33,4.18,3,30,10.0,2413085.5,20449.88
2024-06,3,Surgery,100,52,4.83,12,49,24.49,2254562.59,22545.63
2024-06,8,Women's Health,122,51,4.34,11,47,23.4,2253216.44,18468.99
2024-07,1,Cardiology,152,62,4.06,8,57,14.04,2373344.89,15614.11
2024-07,7,Emergency Medicine,387,0,,0,0,,1035406.27,2675.47
2024-07,2,Internal Medicine,159,79,3.91,7,72,9.72,1602332.37,10077.56
2024-07,5,Neurology,102,47,4.87,4,43,9.3,1417530.66,13897.36
2024-07,6,Oncology,89,35,3.27,2,32,6.25,1144176.21,12855.91
2024-07,4,Orthopedics,94,31,4.04,2,30,6.67,1686493.94,17941.42
2024-07,3,Surgery,129,62,4.53,10,58,17.24,2675738.2,20742.16
2024-07,8,Women's Health,101,44,3.84,4,40,10.0,1737999.92,17207.92
2024-08,1,Cardiology,138,61,4.87,9,58,15.52,2508750.74,18179.35
2024-08,7,Emergency Medicine,336,0,,0,0,,897572.71,2671.35
2024-08,2,Internal Medicine,166,92,4.01,11,84,13.1,1799544.05,10840.63
2024-08,5,Neurology,86,32,4.22,5,29,17.24,935996.27,10883.68
2024-08,6,Oncology,82,38,4.36,5,36,13.89,1447381.37,17650.99
2024-08,4,Orthopedics,100,37,3.39,6,34,17.65,1711311.8,17113.12
2024-08,3,Surgery,115,52,3.52,7,47,14.89,2150689.79,18701.65
2024-08,8,Women's Health,115,39,3.65,5,36,13.89,1964461.42,17082.27
2024-09,1,Cardiology,148,66,5.31,9,63,14.29,2875691.73,19430.35
2024-09,7,Emergency Medicine,371,0,,0,0,,970860.98,2616.88
2024-09,2,Internal Medicine,160,82,4.33,9,72,12.5,1718888.5,10743.05
2024-09,5,Neurology,90,36,4.24,7,31,22.58,1074906.1,11943.4
2024-09,6,Oncology,101,35,4.34,6,31,19.35,1374170.94,13605.65
2024-09,4,Orthopedics,101,31,4.27,5,29,17.24,1975977.85,19564.14
2024-09,3,Surgery,99,53,3.83,6,50,12.0,2150146.21,21718.65
2024-09,8,Women's Health,106,42,4.79,8,42,19.05,2011255.91,18974.11
2024-10,1,Cardiology,141,64,4.47,5,59,8.47,2705511.0,19188.02
